location.latitude,location.longitude,name,power,type,stalls,country
49.769609,10.470231,"Tesla Supercharger Geiselwind, Germany",250,SITE_TYPE_SUPERCHARGER,34,Germany
49.1384,8.56233,"Tesla Supercharger Bruchsal, Germany",138,SITE_TYPE_SUPERCHARGER,14,Germany
45.265676,5.876448,"Tesla Supercharger Grenoble, France",150,SITE_TYPE_SUPERCHARGER,8,France
42.783861,-1.630794,"Tesla Supercharger Pamplona,  Spain",250,SITE_TYPE_SUPERCHARGER,8,Spain
48.691108,6.127792,"Tesla Supercharger Laxou, France",250,SITE_TYPE_SUPERCHARGER,28,France
48.959185,10.173699,"Tesla Supercharger Ellwangen, Germany - Hotel Montana",250,SITE_TYPE_SUPERCHARGER,8,Germany
50.643921,10.684882,"Tesla Supercharger Zella-Mehlis, Germany",250,SITE_TYPE_SUPERCHARGER,20,Germany
51.151101,4.43271,"Tesla Supercharger Edegem, Belgium",150,SITE_TYPE_SUPERCHARGER,18,Belgium
56.783309,9.690891,"Tesla Supercharger Haverslev, Denmark",150,SITE_TYPE_SUPERCHARGER,16,Denmark
51.535351,-3.577637,"Tesla Supercharger Sarn Park, UK",130,SITE_TYPE_SUPERCHARGER,8,UK
48.785079,9.017713,"Tesla Supercharger Leonberg, Germany",150,SITE_TYPE_SUPERCHARGER,20,Germany
51.067118,-1.299816,"Tesla Supercharger Winchester, UK ",250,SITE_TYPE_SUPERCHARGER,12,UK
47.175529,7.598728,"Tesla Supercharger Kriegstetten, Switzerland",150,SITE_TYPE_SUPERCHARGER,12,Switzerland
43.666466,7.127355,"Tesla Supercharger Cagnes-sur-Mer, France",125,SITE_TYPE_SUPERCHARGER,4,France
46.912724,8.622726,"Tesla Supercharger Flüelen, Switzerland",150,SITE_TYPE_SUPERCHARGER,6,Switzerland
49.640815,6.270681,"Tesla Supercharger Mënsbech, Luxembourg",130,SITE_TYPE_SUPERCHARGER,4,Luxembourg
46.625,7.037428,"Tesla Supercharger Bulle, Switzerland",250,SITE_TYPE_SUPERCHARGER,8,Switzerland
45.389513,8.129848,"Tesla Supercharger Cavaglià, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
44.79377597,-0.53318556,"Tesla Supercharger Bègles, France",250,SITE_TYPE_SUPERCHARGER,16,France
40.93319791,14.35738213,"Tesla Supercharger Afragola, Italy - Napoli North",250,SITE_TYPE_SUPERCHARGER,8,Italy
42.399179,14.163982,"Tesla Supercharger San Giovanni Teatino, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
44.918787,11.594051,"Tesla Supercharger Occhiobello, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
48.221159,14.406744,"Tesla Supercharger Asten, Austria",250,SITE_TYPE_SUPERCHARGER,12,Austria
47.626586,7.599531,"Tesla Supercharger Eimeldingen, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
47.003965,9.525809,"Tesla Supercharger Maienfeld, Switzerland",125,SITE_TYPE_SUPERCHARGER,14,Switzerland
45.561386,9.055946,"Tesla Supercharger Arese, Italy",250,SITE_TYPE_SUPERCHARGER,20,Italy
53.10912,-1.31227,"Tesla Supercharger Mansfield, UK - East Midlands Designer Outlet",250,SITE_TYPE_SUPERCHARGER,8,UK
43.802874,13.015345,"Tesla Supercharger Fano, Italy",130,SITE_TYPE_SUPERCHARGER,6,Italy
58.820786,9.073735,"Tesla Supercharger Brokelandsheia, Norway",250,SITE_TYPE_SUPERCHARGER,36,Norway
51.852568,0.522422,"Tesla Supercharger Braintree, UK",250,SITE_TYPE_SUPERCHARGER,6,UK
46.051873,14.452102,"Tesla Supercharger Ljubljana, Slovenia",125,SITE_TYPE_SUPERCHARGER,8,Slovenia
48.184498,11.532516,"Tesla Supercharger München - OEZ, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
